id,lighting,distance,side,rotation,trial,time,frame,subject,time2,frame2,x,y,saccade,tag,new_tag,filename
t20,Lc,D30,Sc00,Rc,01,1.csv,,Subject_ID,Time,Frame,X-coord,Y-coord,Saccade,Tag,new_Tag,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,0,t20_Lc_D30_Sc00_Rc_01_1,0.0,0.0,427.0,203.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,1,t20_Lc_D30_Sc00_Rc_01_1,0.0,1.0,131.0,181.0,1,saccade,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,2,t20_Lc_D30_Sc00_Rc_01_1,0.0,2.0,122.0,180.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,3,t20_Lc_D30_Sc00_Rc_01_1,0.0,3.0,121.0,180.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,4,t20_Lc_D30_Sc00_Rc_01_1,0.0,4.0,120.0,182.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,5,t20_Lc_D30_Sc00_Rc_01_1,0.0,5.0,111.0,183.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,6,t20_Lc_D30_Sc00_Rc_01_1,0.0,6.0,105.0,186.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,7,t20_Lc_D30_Sc00_Rc_01_1,0.0,7.0,105.0,186.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,8,t20_Lc_D30_Sc00_Rc_01_1,0.0,8.0,105.0,186.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,9,t20_Lc_D30_Sc00_Rc_01_1,0.0,9.0,,,0,away,away,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,10,t20_Lc_D30_Sc00_Rc_01_1,0.0,10.0,,,0,away,away,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,11,t20_Lc_D30_Sc00_Rc_01_1,0.0,11.0,,,0,away,away,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,12,t20_Lc_D30_Sc00_Rc_01_1,0.0,12.0,,,0,away,away,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,13,t20_Lc_D30_Sc00_Rc_01_1,0.0,13.0,,,0,away,away,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,14,t20_Lc_D30_Sc00_Rc_01_1,0.0,14.0,41.0,224.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,15,t20_Lc_D30_Sc00_Rc_01_1,0.0,15.0,68.0,233.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,16,t20_Lc_D30_Sc00_Rc_01_1,0.0,16.0,77.0,236.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,17,t20_Lc_D30_Sc00_Rc_01_1,0.0,17.0,82.0,238.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,18,t20_Lc_D30_Sc00_Rc_01_1,0.0,18.0,72.0,242.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,19,t20_Lc_D30_Sc00_Rc_01_1,0.0,19.0,72.0,243.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,20,t20_Lc_D30_Sc00_Rc_01_1,0.0,20.0,69.0,247.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,21,t20_Lc_D30_Sc00_Rc_01_1,0.0,21.0,56.0,247.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,22,t20_Lc_D30_Sc00_Rc_01_1,0.0,22.0,29.0,249.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,23,t20_Lc_D30_Sc00_Rc_01_1,0.0,23.0,1.0,250.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,24,t20_Lc_D30_Sc00_Rc_01_1,0.0,24.0,16.0,249.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,25,t20_Lc_D30_Sc00_Rc_01_1,0.0,25.0,36.0,250.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,26,t20_Lc_D30_Sc00_Rc_01_1,0.0,26.0,49.0,249.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,27,t20_Lc_D30_Sc00_Rc_01_1,0.0,27.0,47.0,250.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,28,t20_Lc_D30_Sc00_Rc_01_1,0.0,28.0,30.0,250.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,29,t20_Lc_D30_Sc00_Rc_01_1,0.0,29.0,12.0,250.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,30,t20_Lc_D30_Sc00_Rc_01_1,0.0,30.0,5.0,249.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,1.csv,31,t20_Lc_D30_Sc00_Rc_01_1,0.0,31.0,19.0,247.0,0,looking,right,t20_Lc_D30_Sc00_Rc_01_1.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,,Subject_ID,Time,Frame,X-coord,Y-coord,Saccade,Tag,new_Tag,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,0,t20_Lc_D30_Sc00_Rc_01_2,0.0,0.0,427,203,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,1,t20_Lc_D30_Sc00_Rc_01_2,0.0,1.0,10,249,1,saccade,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,2,t20_Lc_D30_Sc00_Rc_01_2,0.0,2.0,3,251,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,3,t20_Lc_D30_Sc00_Rc_01_2,0.0,3.0,15,249,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,4,t20_Lc_D30_Sc00_Rc_01_2,0.0,4.0,12,247,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,5,t20_Lc_D30_Sc00_Rc_01_2,0.0,5.0,8,247,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,6,t20_Lc_D30_Sc00_Rc_01_2,0.0,6.0,12,244,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,7,t20_Lc_D30_Sc00_Rc_01_2,0.0,7.0,20,245,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,8,t20_Lc_D30_Sc00_Rc_01_2,0.0,8.0,27,244,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,9,t20_Lc_D30_Sc00_Rc_01_2,0.0,9.0,18,245,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,10,t20_Lc_D30_Sc00_Rc_01_2,0.0,10.0,27,246,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,11,t20_Lc_D30_Sc00_Rc_01_2,0.0,11.0,37,246,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,12,t20_Lc_D30_Sc00_Rc_01_2,0.0,12.0,37,245,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,13,t20_Lc_D30_Sc00_Rc_01_2,0.0,13.0,37,246,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,14,t20_Lc_D30_Sc00_Rc_01_2,0.0,14.0,49,246,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,15,t20_Lc_D30_Sc00_Rc_01_2,0.0,15.0,59,246,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,16,t20_Lc_D30_Sc00_Rc_01_2,0.0,16.0,64,246,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,17,t20_Lc_D30_Sc00_Rc_01_2,0.0,17.0,71,246,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,18,t20_Lc_D30_Sc00_Rc_01_2,0.0,18.0,79,247,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,19,t20_Lc_D30_Sc00_Rc_01_2,0.0,19.0,81,245,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,20,t20_Lc_D30_Sc00_Rc_01_2,0.0,20.0,72,244,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,21,t20_Lc_D30_Sc00_Rc_01_2,0.0,21.0,73,241,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,22,t20_Lc_D30_Sc00_Rc_01_2,0.0,22.0,65,240,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,23,t20_Lc_D30_Sc00_Rc_01_2,0.0,23.0,56,239,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,24,t20_Lc_D30_Sc00_Rc_01_2,0.0,24.0,39,239,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,25,t20_Lc_D30_Sc00_Rc_01_2,0.0,25.0,28,240,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,26,t20_Lc_D30_Sc00_Rc_01_2,0.0,26.0,19,240,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,27,t20_Lc_D30_Sc00_Rc_01_2,0.0,27.0,12,242,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,28,t20_Lc_D30_Sc00_Rc_01_2,0.0,28.0,5,243,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
t20,Lc,D30,Sc00,Rc,01,2.csv,29,t20_Lc_D30_Sc00_Rc_01_2,0.0,29.0,9,245,0,looking,right,t20_Lc_D30_Sc00_Rc_01_2.csv
