"","id","lighting","distance","side","rotation","trial","time","frame","filename","iCatcher_NonAnonymized","iCatcher_Anonymized","OWLET_NonAnonymized","OWLET_Anonymized"
"40","c01","Lr","D30","Sc00","Rl",10,2,32,"c01_Lr_D30_Sc00_Rl_10_2","Yes","Yes","Yes","Yes"
"41","c01","Lr","D30","Sc00","Rr",1,1,32,"c01_Lr_D30_Sc00_Rr_01_1","Yes","Yes","Yes","Yes"
"42","c01","Lr","D30","Sc00","Rr",1,2,31,"c01_Lr_D30_Sc00_Rr_01_2","Yes","Yes","Yes","Yes"
"43","c01","Lr","D30","Sc00","Rr",2,1,32,"c01_Lr_D30_Sc00_Rr_02_1","Yes","Yes","Yes","Yes"
"44","c01","Lr","D30","Sc00","Rr",2,2,33,"c01_Lr_D30_Sc00_Rr_02_2","Yes","Yes","Yes","Yes"
"45","c01","Lr","D30","Sc00","Rr",3,1,32,"c01_Lr_D30_Sc00_Rr_03_1","Yes","Yes","Yes","Yes"
"46","c01","Lr","D30","Sc00","Rr",3,2,33,"c01_Lr_D30_Sc00_Rr_03_2","Yes","Yes","Yes","Yes"
"47","c01","Lr","D30","Sc00","Rr",4,1,32,"c01_Lr_D30_Sc00_Rr_04_1","Yes","Yes","Yes","Yes"
"48","c01","Lr","D30","Sc00","Rr",4,2,31,"c01_Lr_D30_Sc00_Rr_04_2","Yes","Yes","Yes","Yes"
"49","c01","Lr","D30","Sc00","Rr",5,1,32,"c01_Lr_D30_Sc00_Rr_05_1","Yes","Yes","Yes","Yes"
"50","c01","Lr","D30","Sc00","Rr",5,2,33,"c01_Lr_D30_Sc00_Rr_05_2","Yes","Yes","Yes","Yes"
"51","c01","Lr","D30","Sc00","Rr",6,1,32,"c01_Lr_D30_Sc00_Rr_06_1","Yes","Yes","Yes","Yes"
"52","c01","Lr","D30","Sc00","Rr",6,2,31,"c01_Lr_D30_Sc00_Rr_06_2","Yes","Yes","Yes","Yes"
"53","c01","Lr","D30","Sc00","Rr",7,1,31,"c01_Lr_D30_Sc00_Rr_07_1","Yes","Yes","Yes","Yes"
"54","c01","Lr","D30","Sc00","Rr",7,2,32,"c01_Lr_D30_Sc00_Rr_07_2","Yes","Yes","Yes","Yes"
"55","c01","Lr","D30","Sc00","Rr",8,1,32,"c01_Lr_D30_Sc00_Rr_08_1","Yes","Yes","Yes","Yes"
"56","c01","Lr","D30","Sc00","Rr",8,2,31,"c01_Lr_D30_Sc00_Rr_08_2","Yes","Yes","Yes","Yes"
"57","c01","Lr","D30","Sc00","Rr",9,1,33,"c01_Lr_D30_Sc00_Rr_09_1","Yes","Yes","Yes","Yes"
"58","c01","Lr","D30","Sc00","Rr",9,2,31,"c01_Lr_D30_Sc00_Rr_09_2","Yes","Yes","Yes","Yes"
"59","c01","Lr","D30","Sc00","Rr",10,1,32,"c01_Lr_D30_Sc00_Rr_10_1","Yes","Yes","Yes","Yes"
"60","c01","Lr","D30","Sc00","Rr",10,2,33,"c01_Lr_D30_Sc00_Rr_10_2","Yes","Yes","Yes","Yes"
"61","c01","Lr","D30","Sl24","Rc",1,1,32,"c01_Lr_D30_Sl24_Rc_01_1","Yes","Yes","Yes","Yes"
"62","c01","Lr","D30","Sl24","Rc",1,2,31,"c01_Lr_D30_Sl24_Rc_01_2","Yes","Yes","Yes","Yes"
"63","c01","Lr","D30","Sl24","Rc",2,1,33,"c01_Lr_D30_Sl24_Rc_02_1","Yes","Yes","Yes","Yes"
"64","c01","Lr","D30","Sl24","Rc",2,2,31,"c01_Lr_D30_Sl24_Rc_02_2","Yes","Yes","Yes","Yes"
"65","c01","Lr","D30","Sl24","Rc",3,1,30,"c01_Lr_D30_Sl24_Rc_03_1","Yes","Yes","Yes","Yes"
"66","c01","Lr","D30","Sl24","Rc",3,2,31,"c01_Lr_D30_Sl24_Rc_03_2","Yes","Yes","Yes","Yes"
"67","c01","Lr","D30","Sl24","Rc",4,1,33,"c01_Lr_D30_Sl24_Rc_04_1","Yes","Yes","Yes","Yes"
"68","c01","Lr","D30","Sl24","Rc",4,2,31,"c01_Lr_D30_Sl24_Rc_04_2","Yes","Yes","Yes","Yes"
"69","c01","Lr","D30","Sl24","Rc",5,1,32,"c01_Lr_D30_Sl24_Rc_05_1","Yes","Yes","Yes","Yes"
"70","c01","Lr","D30","Sl24","Rc",5,2,31,"c01_Lr_D30_Sl24_Rc_05_2","Yes","Yes","Yes","Yes"
"71","c01","Lr","D30","Sl24","Rc",6,1,33,"c01_Lr_D30_Sl24_Rc_06_1","Yes","Yes","Yes","Yes"
"72","c01","Lr","D30","Sl24","Rc",6,2,31,"c01_Lr_D30_Sl24_Rc_06_2","Yes","Yes","Yes","Yes"
"73","c01","Lr","D30","Sl24","Rc",7,1,33,"c01_Lr_D30_Sl24_Rc_07_1","Yes","Yes","Yes","Yes"
"74","c01","Lr","D30","Sl24","Rc",7,2,31,"c01_Lr_D30_Sl24_Rc_07_2","Yes","Yes","Yes","Yes"
"75","c01","Lr","D30","Sl24","Rc",8,1,32,"c01_Lr_D30_Sl24_Rc_08_1","Yes","Yes","Yes","Yes"
"76","c01","Lr","D30","Sl24","Rc",8,2,30,"c01_Lr_D30_Sl24_Rc_08_2","Yes","Yes","Yes","Yes"
"77","c01","Lr","D30","Sl24","Rc",9,1,32,"c01_Lr_D30_Sl24_Rc_09_1","Yes","Yes","Yes","Yes"
"78","c01","Lr","D30","Sl24","Rc",9,2,30,"c01_Lr_D30_Sl24_Rc_09_2","Yes","Yes","Yes","Yes"
"79","c01","Lr","D30","Sl24","Rc",10,1,32,"c01_Lr_D30_Sl24_Rc_10_1","Yes","Yes","Yes","Yes"
"80","c01","Lr","D30","Sl24","Rc",10,2,31,"c01_Lr_D30_Sl24_Rc_10_2","Yes","Yes","Yes","Yes"
"81","c01","Lr","D30","Sl24","Rl",1,1,33,"c01_Lr_D30_Sl24_Rl_01_1","Yes","Yes","Yes","Yes"
"82","c01","Lr","D30","Sl24","Rl",1,2,31,"c01_Lr_D30_Sl24_Rl_01_2","Yes","Yes","Yes","Yes"
"83","c01","Lr","D30","Sl24","Rl",2,1,31,"c01_Lr_D30_Sl24_Rl_02_1","Yes","Yes","Yes","Yes"
"84","c01","Lr","D30","Sl24","Rl",2,2,32,"c01_Lr_D30_Sl24_Rl_02_2","Yes","Yes","Yes","Yes"
"85","c01","Lr","D30","Sl24","Rl",3,1,33,"c01_Lr_D30_Sl24_Rl_03_1","Yes","Yes","Yes","Yes"
"86","c01","Lr","D30","Sl24","Rl",3,2,32,"c01_Lr_D30_Sl24_Rl_03_2","Yes","Yes","Yes","Yes"
"87","c01","Lr","D30","Sl24","Rl",4,1,31,"c01_Lr_D30_Sl24_Rl_04_1","Yes","Yes","Yes","Yes"
"88","c01","Lr","D30","Sl24","Rl",4,2,32,"c01_Lr_D30_Sl24_Rl_04_2","Yes","Yes","Yes","Yes"
"89","c01","Lr","D30","Sl24","Rl",5,1,33,"c01_Lr_D30_Sl24_Rl_05_1","Yes","Yes","Yes","Yes"
"90","c01","Lr","D30","Sl24","Rl",5,2,32,"c01_Lr_D30_Sl24_Rl_05_2","Yes","Yes","Yes","Yes"
"91","c01","Lr","D30","Sl24","Rl",6,1,31,"c01_Lr_D30_Sl24_Rl_06_1","Yes","Yes","Yes","Yes"
"92","c01","Lr","D30","Sl24","Rl",6,2,32,"c01_Lr_D30_Sl24_Rl_06_2","Yes","Yes","Yes","Yes"
"93","c01","Lr","D30","Sl24","Rl",7,1,31,"c01_Lr_D30_Sl24_Rl_07_1","Yes","Yes","Yes","Yes"
"94","c01","Lr","D30","Sl24","Rl",7,2,32,"c01_Lr_D30_Sl24_Rl_07_2","Yes","Yes","Yes","Yes"
"95","c01","Lr","D30","Sl24","Rl",8,1,31,"c01_Lr_D30_Sl24_Rl_08_1","Yes","Yes","Yes","Yes"
"96","c01","Lr","D30","Sl24","Rl",8,2,32,"c01_Lr_D30_Sl24_Rl_08_2","Yes","Yes","Yes","Yes"
"97","c01","Lr","D30","Sl24","Rl",9,1,31,"c01_Lr_D30_Sl24_Rl_09_1","Yes","Yes","Yes","Yes"
"98","c01","Lr","D30","Sl24","Rl",9,2,32,"c01_Lr_D30_Sl24_Rl_09_2","Yes","Yes","Yes","Yes"
"99","c01","Lr","D30","Sl24","Rl",10,1,33,"c01_Lr_D30_Sl24_Rl_10_1","Yes","Yes","Yes","Yes"
"100","c01","Lr","D30","Sl24","Rl",10,2,32,"c01_Lr_D30_Sl24_Rl_10_2","Yes","Yes","Yes","Yes"
"101","c01","Lr","D30","Sl24","Rr",1,1,31,"c01_Lr_D30_Sl24_Rr_01_1","Yes","Yes","Yes","Yes"
"102","c01","Lr","D30","Sl24","Rr",1,2,32,"c01_Lr_D30_Sl24_Rr_01_2","Yes","Yes","Yes","Yes"
"103","c01","Lr","D30","Sl24","Rr",2,1,32,"c01_Lr_D30_Sl24_Rr_02_1","Yes","Yes","Yes","Yes"
"104","c01","Lr","D30","Sl24","Rr",2,2,31,"c01_Lr_D30_Sl24_Rr_02_2","Yes","Yes","Yes","Yes"
"105","c01","Lr","D30","Sl24","Rr",3,1,32,"c01_Lr_D30_Sl24_Rr_03_1","Yes","Yes","Yes","Yes"
"106","c01","Lr","D30","Sl24","Rr",3,2,33,"c01_Lr_D30_Sl24_Rr_03_2","Yes","Yes","Yes","Yes"
"107","c01","Lr","D30","Sl24","Rr",4,1,31,"c01_Lr_D30_Sl24_Rr_04_1","Yes","Yes","Yes","Yes"
"108","c01","Lr","D30","Sl24","Rr",4,2,32,"c01_Lr_D30_Sl24_Rr_04_2","Yes","Yes","Yes","Yes"
"109","c01","Lr","D30","Sl24","Rr",5,1,32,"c01_Lr_D30_Sl24_Rr_05_1","Yes","Yes","Yes","Yes"
"110","c01","Lr","D30","Sl24","Rr",5,2,33,"c01_Lr_D30_Sl24_Rr_05_2","Yes","Yes","Yes","Yes"
"111","c01","Lr","D30","Sl24","Rr",6,1,32,"c01_Lr_D30_Sl24_Rr_06_1","Yes","Yes","Yes","Yes"
"112","c01","Lr","D30","Sl24","Rr",6,2,33,"c01_Lr_D30_Sl24_Rr_06_2","Yes","Yes","Yes","Yes"
"113","c01","Lr","D30","Sl24","Rr",7,1,32,"c01_Lr_D30_Sl24_Rr_07_1","Yes","Yes","Yes","Yes"
"114","c01","Lr","D30","Sl24","Rr",7,2,31,"c01_Lr_D30_Sl24_Rr_07_2","Yes","Yes","Yes","Yes"
"115","c01","Lr","D30","Sl24","Rr",8,1,32,"c01_Lr_D30_Sl24_Rr_08_1","Yes","Yes","Yes","Yes"
