id,lighting,distance,side,rotation,trial,time,frame,annotation,confidence,filename
t08,Ll,D30,Sc00,Rc,01,2,27, left, 0.60,t08_Ll_D30_Sc00_Rc_01_2.txt
t08,Ll,D30,Sc00,Rc,02,1,4, right, 0.82,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,5, right, 0.78,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,6, right, 0.74,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,7, right, 0.74,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,8, right, 0.76,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,9, right, 0.75,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,10, right, 0.79,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,11, right, 0.77,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,12, right, 0.83,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,13, right, 0.77,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,14, right, 0.79,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,15, right, 0.73,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,16, right, 0.73,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,17, right, 0.71,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,18, right, 0.70,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,19, right, 0.72,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,20, right, 0.67,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,21, right, 0.62,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,22, right, 0.60,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,23, right, 0.62,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,24, right, 0.66,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,25, right, 0.59,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,26, right, 0.62,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,1,27, right, 0.57,t08_Ll_D30_Sc00_Rc_02_1.txt
t08,Ll,D30,Sc00,Rc,02,2,4, right, 0.73,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,5, right, 0.64,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,6, right, 0.71,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,7, right, 0.63,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,8, right, 0.64,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,9, right, 0.70,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,10, right, 0.61,t08_Ll_D30_Sc00_Rc_02_2.txt
