id,lighting,distance,side,rotation,trial,time,frame,subject,time2,frame2,x,y,saccade,tag,new_Tag,filename,new_tag
t15,Lc,D90,Sr24,Rc,1,2.csv,31.0,t15_Lc_D90_Sr24_Rc_01_2,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rc_01_2.csv,away
t15,Lc,D90,Sr24,Rc,2,1.csv,30.0,t15_Lc_D90_Sr24_Rc_02_1,0.0,29.0,,,0,away,,t15_Lc_D90_Sr24_Rc_02_1.csv,away
t15,Lc,D90,Sr24,Rc,2,2.csv,32.0,t15_Lc_D90_Sr24_Rc_02_2,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rc_02_2.csv,away
t15,Lc,D90,Sr24,Rc,3,1.csv,32.0,t15_Lc_D90_Sr24_Rc_03_1,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rc_03_1.csv,away
t15,Lc,D90,Sr24,Rc,3,2.csv,32.0,t15_Lc_D90_Sr24_Rc_03_2,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rc_03_2.csv,away
t15,Lc,D90,Sr24,Rc,4,1.csv,31.0,t15_Lc_D90_Sr24_Rc_04_1,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rc_04_1.csv,away
t15,Lc,D90,Sr24,Rc,4,2.csv,31.0,t15_Lc_D90_Sr24_Rc_04_2,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rc_04_2.csv,away
t15,Lc,D90,Sr24,Rc,5,1.csv,31.0,t15_Lc_D90_Sr24_Rc_05_1,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rc_05_1.csv,away
t15,Lc,D90,Sr24,Rc,6,1.csv,31.0,t15_Lc_D90_Sr24_Rc_06_1,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rc_06_1.csv,away
t15,Lc,D90,Sr24,Rc,6,2.csv,31.0,t15_Lc_D90_Sr24_Rc_06_2,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rc_06_2.csv,away
t15,Lc,D90,Sr24,Rc,7,1.csv,31.0,t15_Lc_D90_Sr24_Rc_07_1,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rc_07_1.csv,away
t15,Lc,D90,Sr24,Rc,7,2.csv,31.0,t15_Lc_D90_Sr24_Rc_07_2,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rc_07_2.csv,away
t15,Lc,D90,Sr24,Rc,8,1.csv,31.0,t15_Lc_D90_Sr24_Rc_08_1,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rc_08_1.csv,away
t15,Lc,D90,Sr24,Rc,8,2.csv,31.0,t15_Lc_D90_Sr24_Rc_08_2,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rc_08_2.csv,away
t15,Lc,D90,Sr24,Rc,9,1.csv,32.0,t15_Lc_D90_Sr24_Rc_09_1,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rc_09_1.csv,away
t15,Lc,D90,Sr24,Rc,9,2.csv,32.0,t15_Lc_D90_Sr24_Rc_09_2,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rc_09_2.csv,away
t15,Lc,D90,Sr24,Rc,10,1.csv,33.0,t15_Lc_D90_Sr24_Rc_10_1,0.0,32.0,,,0,away,,t15_Lc_D90_Sr24_Rc_10_1.csv,away
t15,Lc,D90,Sr24,Rc,10,2.csv,32.0,t15_Lc_D90_Sr24_Rc_10_2,0.0,31.0,529.0,203.0,0,looking,,t15_Lc_D90_Sr24_Rc_10_2.csv,left
t15,Lc,D90,Sr24,Rl,1,1.csv,32.0,t15_Lc_D90_Sr24_Rl_01_1,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rl_01_1.csv,away
t15,Lc,D90,Sr24,Rl,1,2.csv,31.0,t15_Lc_D90_Sr24_Rl_01_2,0.0,30.0,516.0,334.0,0,looking,,t15_Lc_D90_Sr24_Rl_01_2.csv,left
t15,Lc,D90,Sr24,Rl,2,1.csv,32.0,t15_Lc_D90_Sr24_Rl_02_1,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rl_02_1.csv,away
t15,Lc,D90,Sr24,Rl,2,2.csv,31.0,t15_Lc_D90_Sr24_Rl_02_2,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rl_02_2.csv,away
t15,Lc,D90,Sr24,Rl,3,1.csv,31.0,t15_Lc_D90_Sr24_Rl_03_1,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rl_03_1.csv,away
t15,Lc,D90,Sr24,Rl,3,2.csv,32.0,t15_Lc_D90_Sr24_Rl_03_2,0.0,31.0,462.0,374.0,0,looking,,t15_Lc_D90_Sr24_Rl_03_2.csv,right
t15,Lc,D90,Sr24,Rl,4,1.csv,31.0,t15_Lc_D90_Sr24_Rl_04_1,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rl_04_1.csv,away
t15,Lc,D90,Sr24,Rl,4,2.csv,32.0,t15_Lc_D90_Sr24_Rl_04_2,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rl_04_2.csv,away
t15,Lc,D90,Sr24,Rl,5,1.csv,31.0,t15_Lc_D90_Sr24_Rl_05_1,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rl_05_1.csv,away
t15,Lc,D90,Sr24,Rl,5,2.csv,32.0,t15_Lc_D90_Sr24_Rl_05_2,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rl_05_2.csv,away
t15,Lc,D90,Sr24,Rl,6,1.csv,32.0,t15_Lc_D90_Sr24_Rl_06_1,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rl_06_1.csv,away
t15,Lc,D90,Sr24,Rl,6,2.csv,31.0,t15_Lc_D90_Sr24_Rl_06_2,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rl_06_2.csv,away
t15,Lc,D90,Sr24,Rl,7,1.csv,31.0,t15_Lc_D90_Sr24_Rl_07_1,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rl_07_1.csv,away
t15,Lc,D90,Sr24,Rl,7,2.csv,31.0,t15_Lc_D90_Sr24_Rl_07_2,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rl_07_2.csv,away
